planned_source_id,origin_group,source_path,source_url,license_status,planned_split_if_independent,confirmed_split,condition,display_role,display_hz,display_brightness_percent,angle_degrees,phone,resolution,fps_setting,shutter_setting,actual_iso,actual_wb_kelvin,actual_distance_cm,phone_original_filename,output_filename,source_start_seconds,source_end_seconds,sha256,status,notes
SRC016,,,,pending,train,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC016_C3_take01.mp4,,,,planned_not_recorded,
SRC017,,,,pending,validation,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC017_C1_take01.mp4,,,,planned_not_recorded,
SRC017,,,,pending,validation,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC017_C4_take01.mp4,,,,planned_not_recorded,
SRC018,,,,pending,validation,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC018_C2_take01.mp4,,,,planned_not_recorded,
SRC018,,,,pending,validation,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC018_C3_take01.mp4,,,,planned_not_recorded,
SRC019,,,,pending,validation,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC019_C1_take01.mp4,,,,planned_not_recorded,
SRC019,,,,pending,validation,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC019_C4_take01.mp4,,,,planned_not_recorded,
SRC020,,,,pending,validation,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC020_C2_take01.mp4,,,,planned_not_recorded,
SRC020,,,,pending,validation,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC020_C3_take01.mp4,,,,planned_not_recorded,
SRC021,,,,pending,test,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC021_C1_take01.mp4,,,,planned_not_recorded,
SRC021,,,,pending,test,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC021_C4_take01.mp4,,,,planned_not_recorded,
SRC022,,,,pending,test,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC022_C2_take01.mp4,,,,planned_not_recorded,
SRC022,,,,pending,test,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC022_C3_take01.mp4,,,,planned_not_recorded,
SRC023,,,,pending,test,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC023_C1_take01.mp4,,,,planned_not_recorded,
SRC023,,,,pending,test,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC023_C4_take01.mp4,,,,planned_not_recorded,
SRC024,,,,pending,test,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC024_C2_take01.mp4,,,,planned_not_recorded,
SRC024,,,,pending,test,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC024_C3_take01.mp4,,,,planned_not_recorded,
